#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Oct 07 16:21:26 EDT 2017,42,42,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ EfficiencyTest1+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest3+ , ,DelMinTest1- DelMinTest2- DelMinTest3- DelMinTest4- EverythingTest- GetMinTest1- GetMinTest2- GetMinTest3- SizeTest1- SizeTest2- SizeTest4- , ,
1,Sat Oct 07 16:29:26 EDT 2017,42,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 InsertTest1 InsertTest2 InsertTest3 SizeTest3 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 SizeTest1 SizeTest2 SizeTest4 , ,
2,Sat Oct 07 17:20:34 EDT 2017,42,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 InsertTest1 InsertTest2 InsertTest3 SizeTest3 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 SizeTest1 SizeTest2 SizeTest4 , ,
3,Sat Oct 07 18:54:33 EDT 2017,31,-11,Assignment3Suite,BuildTest2 EfficiencyTest1 InsertTest1 InsertTest2 InsertTest3 SizeTest3 , ,BuildTest1- BuildTest3- DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 SizeTest1 SizeTest2 SizeTest4 , ,
4,Sat Oct 07 18:54:47 EDT 2017,31,0,Assignment3Suite,BuildTest2 EfficiencyTest1 InsertTest1 InsertTest2 InsertTest3 SizeTest3 , ,BuildTest1 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 SizeTest1 SizeTest2 SizeTest4 , ,
5,Sat Oct 07 22:55:55 EDT 2017,26,-5,Assignment3Suite,BuildTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest3 , ,BuildTest1 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1- EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 SizeTest1 SizeTest2 SizeTest4 , ,
6,Sun Oct 08 00:00:36 EDT 2017,36,10,Assignment3Suite,BuildTest2 BuildTest3+ EfficiencyTest1+ InsertTest1 InsertTest2 InsertTest3 SizeTest3 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 SizeTest1 SizeTest2 SizeTest4 , ,
7,Sun Oct 08 00:52:06 EDT 2017,36,0,Assignment3Suite,BuildTest2 BuildTest3 EfficiencyTest1 InsertTest1 InsertTest2 InsertTest3 SizeTest3 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 SizeTest1 SizeTest2 SizeTest4 , ,
8,Sun Oct 08 01:20:05 EDT 2017,47,11,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest3+ GetMinTest2+ InsertTest1 InsertTest2 InsertTest3 SizeTest1+ SizeTest3 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest4 EfficiencyTest1- EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest4 , ,
9,Sun Oct 08 01:27:14 EDT 2017,52,5,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest3 EfficiencyTest1+ GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest3 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest4 , ,
10,Sun Oct 08 02:06:17 EDT 2017,52,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest3 EfficiencyTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest3 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest4 , ,
11,Sun Oct 08 02:16:24 EDT 2017,52,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest3 EfficiencyTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest3 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest4 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest4 , ,
12,Sun Oct 08 12:25:50 EDT 2017,47,-5,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest3 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest4 EfficiencyTest1- EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest4 , ,
13,Mon Oct 09 22:29:40 EDT 2017,47,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest3 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest3 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest3 SizeTest2 SizeTest4 , ,
14,Tue Oct 10 00:02:48 EDT 2017,63,16,Assignment3Suite,BuildTest1+ BuildTest2 BuildTest3 DelMinTest3 GetMinTest1+ GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest3 SizeTest4+ , ,DelMinTest1 DelMinTest2 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest3 SizeTest2 , ,
15,Tue Oct 10 00:44:37 EDT 2017,57,-6,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest3 , ,DelMinTest1 DelMinTest2 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest3 SizeTest2 SizeTest4- , ,
16,Tue Oct 10 01:12:23 EDT 2017,57,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest3 , ,DelMinTest1 DelMinTest2 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest3 SizeTest2 SizeTest4 , ,
17,Tue Oct 10 01:38:45 EDT 2017,42,-15,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest1 InsertTest2 SizeTest1 SizeTest3 , ,DelMinTest1 DelMinTest2 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest2- GetMinTest3 InsertTest1- InsertTest3- SizeTest2 SizeTest4 , ,
18,Tue Oct 10 01:39:50 EDT 2017,57,15,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest1 GetMinTest2+ InsertTest1+ InsertTest2 InsertTest3+ SizeTest1 SizeTest3 , ,DelMinTest1 DelMinTest2 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest3 SizeTest2 SizeTest4 , ,
19,Tue Oct 10 01:53:38 EDT 2017,52,-5,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest1 GetMinTest2 InsertTest2 InsertTest3 SizeTest1 SizeTest3 , ,DelMinTest1 DelMinTest2 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest3 InsertTest1- SizeTest2 SizeTest4 , ,
20,Tue Oct 10 01:58:05 EDT 2017,57,5,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest1 GetMinTest2 InsertTest1+ InsertTest2 InsertTest3 SizeTest1 SizeTest3 , ,DelMinTest1 DelMinTest2 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest3 SizeTest2 SizeTest4 , ,
21,Tue Oct 10 02:10:05 EDT 2017,84,27,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1+ DelMinTest3 DelMinTest4+ GetMinTest1 GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2+ SizeTest3 SizeTest4+ , ,DelMinTest2 EfficiencyTest1 EverythingTest , ,
22,Tue Oct 10 02:23:19 EDT 2017,89,5,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 EverythingTest+ GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest2 EfficiencyTest1 , ,
23,Tue Oct 10 02:28:58 EDT 2017,89,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest2 EfficiencyTest1 , ,
24,Tue Oct 10 02:31:24 EDT 2017,94,5,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2+ DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
25,Tue Oct 10 02:54:46 EDT 2017,94,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
26,Tue Oct 10 17:48:52 EDT 2017,94,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
27,Tue Oct 10 18:08:01 EDT 2017,89,-5,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1- EfficiencyTest1 , ,
28,Tue Oct 10 18:09:02 EDT 2017,89,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 EfficiencyTest1 , ,
29,Tue Oct 10 18:09:24 EDT 2017,94,5,Assignment3Suite,BuildTest1+ BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
30,Tue Oct 10 18:10:16 EDT 2017,94,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EfficiencyTest1 , ,
31,Tue Oct 10 18:15:45 EDT 2017,100,6,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1+ EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , , , ,
32,Tue Oct 10 18:18:13 EDT 2017,100,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , , , ,
